Content
【中车长春轨道客车股份有限公司又传来好消息！】#长春发布# 中车长春轨道客车股份有限公司，参与研制的CR450动车组项目，已进入施工设计和样车研制阶段，样车预计将于2024年内下线。并将通过一系列试验，助推高铁运行时速从350公里提升至400公里。这也是中国装备制造业“智造”实力的又一次彰显。 ​  展开c
#万千气象看吉林#中车长春轨道客车股份有限公司简介#微博跨域计划# 中车长春轨道客车股份有限公司（简称“中车长客”）的前身是长春客车厂，成立于1954年，是国家“一五”计划期间的重点建设项目之一。#微博旅行生活记# 2002年3月，公司成功改制为股份公司，现已成为国内知名的轨道客车研发、制造 ​  展开c
📍吉林長春這裡有很多新中國工業的奠基今天參觀了中國一汽——中車長客——長光衛星——長新創台深深感受到了我國工業的強大 有無到有中國工業發展之非常迅速不負背後的每位工作者的努力付出更多的工業發展故事需親身來感受 2长春 ​
#湖南身边事# 将长春打造成千亿轨道装备制造城市 ，中国中车集团携中车株洲所、中车长客公司与长春市合作。众所周知，中国当前最大轨道装备制造基地在株洲，株洲是全国第一个轨道装备制造 产值收入过1000亿元的城市。现在，吉林省会长春依托中车核心企业中车长客，准备也打造千亿轨道装备制造城市，并 ​  展开c
中车集团为MBTA设计的橙线地铁车辆已经在长春试运行，这一对地铁车辆将年底运送到麻省，再到本地Springfield中车厂制造另外100辆。 L波士顿龙虾君的秒拍视频 ​
意思是在长春制车厂要求自己的在美国有分公司的供应商把货发到美国分公司贴签算一个美国制造的零件，中车自己造的车也是运过去在美国分公司贴签，这样凑吧凑吧，但凡在美国贴的签就算美国制造，一辆车超过70%就算made in USA。
